"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"8094","XM_053633765.1","uts2r3",-4.0724543995594,1.63606021009263,52.77625465949,1.2644481408842e-05,0.000152752884362936
"8098","XM_053633771.1","id3",-2.10911859640425,5.28938756775541,45.0857906698956,5.8832613233637e-05,0.000426972760016314
"8112","XM_053633811.1","fam167aa",-2.75832190407055,1.92653048309091,16.9065839959226,0.00220942372987031,0.00637542804619261
"8115","XM_053633817.1","LOC128613187",-2.44781973340745,2.16507482503028,34.176616117976,0.000182977647250934,0.000954573687946543
"8118","XM_053633828.1","LOC128613190",-3.26851481891325,1.94407364977581,42.945774433483,6.50310742217241e-05,0.000459503723047259
"8119","XM_053633829.1","vgll2b",-6.09170203276784,1.60330245631615,67.7675165188776,5.93309131185732e-06,9.49837713208309e-05
"8125","XM_053633842.1","gsc",-1.84614760497581,2.27929990319292,14.2954242646904,0.00377774938479251,0.00992279848142482
"8126","XM_053633843.1","LOC128613200",-2.8711317478634,2.88552431628156,51.8875250681491,3.39793508027747e-05,0.000301236435265781
"8128","XM_053633845.1","LOC128613204",-1.99813808632065,4.62340005124445,61.6625587375167,1.58805965412291e-05,0.000179898598187136
"8132","XM_053633853.1","runx2a",-1.91377086437859,4.60434825234602,41.4762122628079,8.25871760139743e-05,0.000541702271197008
"8145","XM_053633895.1","chrm3a",-2.22488762891162,2.72090303269063,17.7794191762387,0.00188923489032781,0.00562289656271863
"8173","XM_053633979.1","LOC128613313",-1.58666986995516,2.2112441457386,18.3066986095845,0.00171698317740989,0.00521375420669881
"8174","XM_053633980.1","LOC128613314",-2.55089650139461,1.99342955472744,28.3364743288319,0.000370023771763814,0.00159264685384542
"8180","XM_053633990.1","kcng4b",-2.1684287612375,1.461688166722,19.185529965854,0.00145484550344139,0.00457657190239199
"8184","XM_053633995.1","trim66",-1.59204886433855,4.8883799118588,52.6785824161993,3.09005520111197e-05,0.000281457113113179
"8214","XM_053634084.1","LOC128613376",-2.88948529407148,2.99834599383306,28.4831845867855,0.000362797937671662,0.00157320462932389
"8215","XM_053634085.1","pde3b",-1.593112211618,6.80644525717614,67.1402276283697,1.10076740636864e-05,0.000139539724152667
"8216","XM_053634086.1","LOC128613378",-2.15201621201322,2.16505324276329,17.4644431672877,0.00201752484471329,0.00593057784387483
"8236","XM_053634134.1","LOC128613404",-3.58310069702486,2.08077700890737,39.7361856606268,8.54746540002236e-05,0.00055455685544107
"8251","XM_053634170.1","gli2b",-3.14036195181043,5.75312356491463,69.394073888342,9.54907857315827e-06,0.000126913369410744
"8260","XM_053634197.1","LOC128613446",-1.92982179518669,5.71728281737303,50.2723264572807,3.75463528374711e-05,0.000321417429790049
"8265","XM_053634214.1","LOC128613454",-3.03249115127624,3.43254776932135,58.0144275887799,2.09732188966815e-05,0.000216802939876173
"8267","XM_053634218.1","LOC128613456",-3.00708121401999,2.03982901148987,35.5388505563905,0.000150644103726104,0.000831142527311723
"8274","XM_053634249.1","hcn2b",-2.7517587810926,1.91572443599919,22.8476671708607,0.00079527016320819,0.00285261099091828
"8280","XM_053634262.1","col6a2",-1.63076882858413,8.41843638168852,29.1957876740048,0.000324657861311466,0.0014471334292685
"8300","XM_053634328.1","syt7b",-2.46930727046084,3.57392451451392,49.0739548615605,4.17337320298478e-05,0.000342068685619836
"8302","XM_053634341.1","p3h2",-2.78073073078777,3.58484433314041,50.4963490416917,3.71921834218341e-05,0.000319610704001941
