"","gene_id","GeneName","logFC","logCPM","F","PValue","FDR"
"8034","XM_053633596.1","LOC128613052",4.78893979953028,4.52291677550225,70.7937498219479,9.0248144382459e-06,0.000122932304154
"8040","XM_053633617.1","LOC128613060",4.78125904721669,1.31743354766142,59.6606414373911,3.25056920608074e-06,6.46439979214189e-05
"8076","XM_053633699.1","vcpkmt",1.62587806053962,3.86680484506413,33.7346259077932,0.00018708277988666,0.000968189271357178
"8085","XM_053633746.1","LOC128613145",2.75730247388343,0.673599379423936,25.4667823132303,0.000412865884110954,0.0017301250147523
"8095","XM_053633766.1","LOC128613161",5.41780456596698,9.09559227218806,120.49735423738,8.18680607385473e-07,2.71573804761394e-05
"8101","XM_053633781.1","bahd1",2.20326128445993,3.11934575211899,48.5070541023283,4.37812289280039e-05,0.000353237864801596
"8116","XM_053633821.1","LOC128613188",4.96882441439041,0.390037965976299,36.3262530259304,9.81504829844225e-05,0.000611335136033794
"8117","XM_053633822.1","LOC128613188",4.69786057528393,2.08577694534716,73.2272319527999,3.33703459804479e-06,6.57176594563858e-05
"8134","XM_053633863.1","ttll5",1.74888458908869,4.80788405672844,35.4704819911366,0.000153756737478336,0.000843037881573043
"8136","XM_053633878.1","ttll5",3.20338591061625,0.825703988050146,19.3924184217831,0.00105194783588793,0.00354179109137975
"8137","XM_053633879.1","ttll5",4.42104533534538,1.02235834649919,40.6177152754998,2.44316881270785e-05,0.000238479787439433
"8138","XM_053633880.1","ttll5",3.09079513028984,2.92318275638968,44.1726202348781,6.55134805218938e-05,0.000461301532269864
"8147","XM_053633897.1","syne1b",2.46642602948856,9.0607292627347,93.0037130559231,2.63051431242232e-06,5.76221457232646e-05
"8150","XM_053633910.1","wapla",3.29967583521461,1.95749161072001,61.5586406738653,1.55734831414092e-05,0.000178291050278029
"8159","XM_053633947.1","cant1b",3.16345774393547,2.98929922984791,56.4356036271144,2.37827498605379e-05,0.000235986484471846
"8162","XM_053633957.1","tk1",1.72004725146799,1.2768709375412,15.653462657514,0.00287002759049112,0.0079067404075681
"8166","XM_053633970.1","LOC128613303",4.19865576382114,4.71469070714399,173.433900432092,1.55356673641464e-07,1.04788076371167e-05
"8167","XM_053633971.1","LOC128613304",1.63630695646702,6.94161009938422,34.1751759844319,0.000177731997221659,0.000932545335932452
"8169","XM_053633974.1","lrrc39",4.14786602186963,4.45964790216582,163.957165245082,2.02840045954571e-07,1.2095665670807e-05
"8188","XM_053634005.1","LOC128613337",5.52078310763922,3.79158231764202,141.305873215144,3.42701324673557e-07,1.60336677566923e-05
"8197","XM_053634027.1","LOC128613348",5.63487104534301,9.16640746810254,165.735445976918,1.89158857513701e-07,1.16898952393527e-05
"8198","XM_053634031.1","LOC128613351",3.72653835662179,5.03858379787133,27.1090568917703,0.000428686246588495,0.00177937768199347
"8201","XM_053634039.1","rcor3",2.0087742880129,4.67868841892674,55.3180189757344,2.51691478185065e-05,0.000244121129350499
"8209","XM_053634073.1","strn",1.87274772631407,8.57661639347277,89.3287502129103,3.1478508277218e-06,6.37901892614515e-05
"8234","XM_053634126.1","comp",3.27403120935349,1.06667055967341,37.7058287549974,8.33286553087896e-05,0.000545681339861928
"8256","XM_053634191.1","dda1",1.99011636698766,6.99392940004297,103.883154413722,1.6022921349815e-06,4.16338765346398e-05
"8257","XM_053634192.1","abhd8b",2.17569449477962,1.25893266686888,21.4440103123994,0.00100055901913968,0.00341901398887134
"8263","XM_053634209.1","stx6",1.93456992417685,7.07832415122065,64.386137656195,1.31832222021834e-05,0.000157614476372928
"8264","XM_053634211.1","stx6",2.82299636126719,3.32185502804087,75.0414702034746,6.87314112595962e-06,0.00010369283182389
"8269","XM_053634226.1","btf3l4",1.92543381852448,1.28136254777547,17.8553473339621,0.0018758864639308,0.00559139202322072
